ID	Time	Envelop	Features	actual_distance	actual_height	hazard	surface	movement	filename
472	26.451,26.499,26.547,26.595,26.643,26.691,26.739,26.787,26.835,26.883,26.931,26.979,27.027,27.075,27.123,27.171,27.219,27.267,27.315,27.363,27.411,27.459,27.507,27.555,27.603,27.651,27.699,27.747,27.795,27.843,27.891,27.939,27.987,28.035,28.083,28.131,28.179,28.227,28.275,28.323	53.0,53.0,53.0,53.0,54.0,54.0,59.0,68.0,80.0,91.0,98.0,102.0,101.0,97.0,91.0,83.0,75.0,68.0,62.0,59.0,57.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	102.0,21.024,0.288,0.96,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
473	26.361,26.409,26.459,26.507,26.555,26.603,26.651,26.699,26.747,26.795,26.843,26.891,26.939,26.987,27.035,27.083,27.131,27.179,27.227,27.275,27.323,27.371,27.419,27.467,27.515,27.563,27.611,27.659,27.707,27.755,27.803,27.851,27.899,27.947,27.995,28.043,28.091,28.139,28.187,28.235	53.0,53.0,53.0,53.0,53.0,55.0,63.0,75.0,89.0,100.0,107.0,109.0,107.0,102.0,95.0,86.0,77.0,69.0,63.0,59.0,57.0,56.0,55.0,56.0,56.0,55.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	109.0,24.024,0.288,1.008,0.333333333333	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
474	26.402,26.45,26.498,26.546,26.594,26.642,26.69,26.738,26.786,26.834,26.882,26.93,26.978,27.026,27.074,27.122,27.17,27.218,27.266,27.314,27.362,27.41,27.458,27.506,27.554,27.602,27.65,27.698,27.746,27.794,27.842,27.89,27.938,27.986,28.034,28.082,28.13,28.178,28.226,28.274	53.0,52.0,53.0,53.0,52.0,56.0,69.0,89.0,105.0,117.0,123.0,126.0,125.0,121.0,115.0,106.0,94.0,82.0,73.0,67.0,64.0,62.0,61.0,60.0,59.0,57.0,55.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0	126.0,39.408,0.288,1.008,0.333333333333	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
475	26.357,26.405,26.453,26.501,26.549,26.597,26.645,26.694,26.742,26.79,26.838,26.886,26.934,26.982,27.03,27.078,27.126,27.174,27.222,27.27,27.319,27.367,27.415,27.463,27.511,27.559,27.607,27.655,27.703,27.751,27.799,27.847,27.895,27.943,27.991,28.039,28.087,28.135,28.183,28.231	53.0,53.0,53.0,53.0,54.0,56.0,69.0,88.0,105.0,117.0,124.0,128.0,128.0,125.0,120.0,112.0,102.0,90.0,79.0,71.0,66.0,64.0,62.0,61.0,60.0,58.0,57.0,56.0,55.0,55.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	128.0,44.6455,0.337,1.154,0.6	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
476	26.356,26.404,26.452,26.5,26.548,26.596,26.644,26.692,26.74,26.788,26.836,26.884,26.932,26.98,27.028,27.076,27.124,27.172,27.22,27.268,27.316,27.364,27.412,27.46,27.508,27.556,27.604,27.652,27.7,27.748,27.796,27.844,27.892,27.94,27.988,28.036,28.084,28.132,28.18,28.228	53.0,54.0,54.0,54.0,54.0,55.0,62.0,72.0,83.0,92.0,97.0,98.0,95.0,89.0,83.0,76.0,71.0,66.0,63.0,60.0,59.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0,53.0	98.0,20.568,0.288,0.96,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
477	26.083,26.131,26.179,26.227,26.275,26.323,26.371,26.419,26.467,26.515,26.563,26.611,26.659,26.707,26.755,26.803,26.851,26.899,26.947,26.995,27.043,27.091,27.139,27.187,27.235,27.283,27.331,27.379,27.427,27.475,27.523,27.571,27.619,27.667,27.715,27.763,27.811,27.859,27.907,27.955	52.0,52.0,52.0,52.0,52.0,54.0,59.0,70.0,84.0,96.0,104.0,107.0,107.0,104.0,98.0,89.0,80.0,71.0,65.0,62.0,62.0,63.0,63.0,62.0,60.0,57.0,56.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0	107.0,23.256,0.336,1.056,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
478	26.072,26.12,26.168,26.216,26.264,26.312,26.36,26.408,26.456,26.504,26.552,26.6,26.648,26.696,26.744,26.792,26.84,26.888,26.936,26.984,27.032,27.08,27.128,27.176,27.224,27.272,27.32,27.368,27.416,27.464,27.512,27.56,27.608,27.656,27.704,27.752,27.8,27.848,27.896,27.944	53.0,53.0,53.0,53.0,53.0,55.0,62.0,76.0,92.0,104.0,112.0,116.0,115.0,112.0,105.0,96.0,86.0,76.0,68.0,62.0,60.0,60.0,59.0,58.0,58.0,56.0,56.0,55.0,54.0,54.0,53.0,53.0,53.0,55.0,55.0,54.0,54.0,54.0,53.0,53.0	116.0,26.112,0.288,1.056,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
479	25.93,25.978,26.026,26.074,26.122,26.17,26.218,26.266,26.315,26.363,26.411,26.459,26.507,26.555,26.603,26.651,26.699,26.747,26.795,26.843,26.891,26.941,26.989,27.037,27.085,27.133,27.181,27.229,27.277,27.325,27.373,27.421,27.469,27.517,27.565,27.613,27.661,27.709,27.757,27.805	53.0,53.0,53.0,53.0,53.0,53.0,58.0,72.0,88.0,103.0,112.0,116.0,117.0,114.0,109.0,100.0,89.0,79.0,70.0,65.0,62.0,60.0,59.0,58.0,57.0,56.0,55.0,55.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	117.0,34.301,0.337,1.059,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
480	25.834,25.882,25.93,25.978,26.026,26.074,26.122,26.17,26.218,26.266,26.314,26.362,26.411,26.459,26.507,26.555,26.603,26.651,26.699,26.747,26.795,26.843,26.891,26.939,26.987,27.036,27.084,27.132,27.18,27.228,27.276,27.324,27.372,27.42,27.468,27.516,27.564,27.612,27.66,27.708	53.0,53.0,53.0,53.0,53.0,55.0,66.0,85.0,104.0,117.0,125.0,129.0,130.0,128.0,124.0,117.0,107.0,95.0,83.0,75.0,69.0,66.0,64.0,62.0,60.0,58.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0	130.0,43.951,0.337,1.202,0.5	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
481	25.929,25.977,26.025,26.073,26.121,26.169,26.217,26.265,26.313,26.361,26.409,26.457,26.505,26.553,26.601,26.649,26.697,26.745,26.793,26.841,26.889,26.937,26.985,27.033,27.081,27.129,27.177,27.225,27.273,27.321,27.369,27.417,27.465,27.513,27.561,27.609,27.657,27.705,27.753,27.801	52.0,52.0,52.0,52.0,53.0,57.0,66.0,78.0,89.0,97.0,100.0,99.0,95.0,88.0,80.0,72.0,65.0,60.0,57.0,55.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0	100.0,17.688,0.24,0.72,0.333333333333	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
