ID	Time	Envelop	Features	actual_distance	actual_height	hazard	surface	movement	filename
167	26.227,26.275,26.323,26.371,26.419,26.467,26.515,26.563,26.611,26.659,26.707,26.755,26.803,26.851,26.899,26.947,26.995,27.043,27.091,27.139,27.187,27.235,27.283,27.331,27.379,27.427,27.475,27.523,27.571,27.619,27.667,27.715,27.763,27.811,27.859,27.907,27.955,28.003,28.051,28.099	54.0,54.0,54.0,54.0,54.0,55.0,60.0,71.0,85.0,98.0,106.0,109.0,108.0,105.0,99.0,91.0,82.0,74.0,68.0,63.0,60.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	109.0,23.808,0.288,1.056,0.512195121951	4.0	10.0	0	0	1	20160317-093833-4m-curb10-move10.json
168	26.179,26.227,26.275,26.323,26.371,26.419,26.467,26.515,26.563,26.611,26.659,26.707,26.755,26.803,26.851,26.899,26.947,26.995,27.043,27.091,27.139,27.187,27.235,27.283,27.331,27.379,27.427,27.475,27.523,27.571,27.619,27.667,27.715,27.763,27.811,27.859,27.907,27.955,28.003,28.051	54.0,54.0,54.0,54.0,54.0,54.0,61.0,78.0,97.0,111.0,121.0,126.0,127.0,126.0,122.0,116.0,107.0,96.0,85.0,75.0,68.0,63.0,60.0,59.0,58.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	127.0,36.624,0.336,1.296,0.524475524476	4.0	10.0	0	0	1	20160317-093833-4m-curb10-move10.json
169	26.609,26.657,26.705,26.753,26.801,26.849,26.897,26.945,26.993,27.041,27.089,27.137,27.185,27.233,27.281,27.329,27.377,27.425,27.473,27.521,27.569,27.617,27.665,27.713,27.761,27.809,27.857,27.905,27.953,28.001,28.049,28.097,28.145,28.193,28.241,28.289,28.337,28.385,28.433,28.481	54.0,54.0,54.0,54.0,54.0,55.0,59.0,68.0,79.0,89.0,96.0,98.0,97.0,93.0,87.0,80.0,73.0,67.0,62.0,59.0,57.0,56.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	98.0,18.552,0.288,1.008,0.536779324056	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
170	26.532,26.58,26.628,26.676,26.724,26.772,26.82,26.868,26.916,26.964,27.012,27.06,27.108,27.156,27.204,27.252,27.3,27.348,27.396,27.444,27.492,27.54,27.588,27.636,27.684,27.732,27.78,27.828,27.876,27.924,27.972,28.02,28.068,28.116,28.164,28.212,28.26,28.308,28.356,28.404	54.0,54.0,54.0,54.0,54.0,55.0,59.0,63.0,69.0,74.0,78.0,78.0,76.0,74.0,70.0,67.0,63.0,60.0,58.0,56.0,56.0,55.0,55.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	78.0,9.312,0.288,0.816,0.623430962343	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
171	26.516,26.564,26.612,26.66,26.708,26.756,26.804,26.852,26.9,26.948,26.996,27.044,27.092,27.14,27.188,27.236,27.284,27.332,27.38,27.428,27.476,27.524,27.572,27.62,27.668,27.716,27.764,27.812,27.86,27.908,27.956,28.004,28.052,28.1,28.148,28.196,28.244,28.292,28.34,28.388	54.0,54.0,54.0,54.0,55.0,58.0,69.0,84.0,99.0,110.0,116.0,117.0,116.0,113.0,106.0,96.0,86.0,76.0,68.0,63.0,60.0,59.0,58.0,57.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	117.0,28.992,0.288,1.104,0.498759305211	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
172	26.613,26.661,26.709,26.757,26.805,26.853,26.901,26.949,26.997,27.045,27.093,27.141,27.189,27.237,27.285,27.333,27.381,27.429,27.477,27.525,27.573,27.621,27.669,27.717,27.765,27.813,27.861,27.909,27.957,28.005,28.053,28.101,28.149,28.197,28.245,28.293,28.341,28.389,28.437,28.485	54.0,54.0,54.0,54.0,54.0,55.0,63.0,79.0,96.0,110.0,120.0,126.0,128.0,128.0,125.0,119.0,110.0,98.0,85.0,75.0,67.0,63.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	128.0,43.2,0.384,1.152,0.498751040799	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
173	26.706,26.754,26.802,26.85,26.898,26.946,26.994,27.042,27.09,27.138,27.186,27.234,27.282,27.33,27.378,27.426,27.474,27.522,27.57,27.618,27.666,27.714,27.762,27.81,27.858,27.906,27.954,28.002,28.05,28.098,28.146,28.194,28.242,28.29,28.338,28.386,28.434,28.482,28.53,28.578	54.0,54.0,54.0,54.0,54.0,57.0,65.0,76.0,88.0,96.0,101.0,101.0,97.0,91.0,84.0,76.0,69.0,63.0,60.0,57.0,57.0,57.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	101.0,18.48,0.288,1.008,0.627906976744	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
174	26.617,26.665,26.713,26.761,26.809,26.857,26.905,26.953,27.001,27.049,27.097,27.145,27.193,27.241,27.289,27.337,27.385,27.433,27.481,27.529,27.577,27.625,27.673,27.721,27.769,27.817,27.865,27.913,27.961,28.009,28.057,28.105,28.153,28.201,28.249,28.297,28.345,28.393,28.441,28.489	54.0,54.0,54.0,54.0,55.0,58.0,64.0,70.0,76.0,80.0,80.0,78.0,75.0,71.0,66.0,62.0,60.0,58.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	80.0,10.704,0.24,0.816,0.486666666667	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
175	26.432,26.48,26.528,26.576,26.624,26.672,26.72,26.768,26.816,26.864,26.912,26.96,27.008,27.056,27.104,27.152,27.2,27.248,27.296,27.344,27.392,27.44,27.488,27.536,27.584,27.632,27.68,27.728,27.776,27.824,27.872,27.92,27.968,28.016,28.064,28.112,28.16,28.208,28.256,28.304	54.0,54.0,54.0,54.0,55.0,57.0,64.0,74.0,84.0,91.0,94.0,93.0,90.0,85.0,78.0,72.0,68.0,64.0,61.0,59.0,57.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	94.0,17.016,0.24,0.864,0.435222672065	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
176	26.568,26.616,26.664,26.712,26.76,26.808,26.856,26.904,26.952,27.0,27.048,27.096,27.144,27.192,27.24,27.288,27.336,27.384,27.432,27.48,27.528,27.576,27.624,27.672,27.72,27.768,27.816,27.864,27.912,27.96,28.008,28.056,28.104,28.152,28.2,28.248,28.296,28.344,28.392,28.44	54.0,54.0,54.0,55.0,56.0,58.0,62.0,66.0,69.0,71.0,72.0,71.0,68.0,65.0,61.0,59.0,57.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	72.0,6.384,0.24,0.72,0.705128205128	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
177	26.475,26.523,26.571,26.619,26.667,26.715,26.763,26.811,26.859,26.907,26.955,27.003,27.051,27.099,27.147,27.195,27.243,27.291,27.339,27.387,27.435,27.483,27.531,27.579,27.627,27.675,27.723,27.771,27.819,27.867,27.915,27.963,28.011,28.059,28.107,28.155,28.203,28.251,28.299,28.347	54.0,54.0,54.0,54.0,55.0,58.0,62.0,67.0,70.0,70.0,68.0,64.0,61.0,59.0,58.0,58.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	70.0,5.688,0.192,0.864,0.472049689441	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
178	26.48,26.528,26.576,26.624,26.672,26.72,26.768,26.816,26.864,26.912,26.96,27.008,27.056,27.104,27.152,27.2,27.248,27.296,27.344,27.392,27.44,27.488,27.536,27.584,27.632,27.68,27.728,27.776,27.824,27.872,27.92,27.968,28.016,28.064,28.112,28.16,28.208,28.256,28.304,28.352	54.0,54.0,54.0,54.0,54.0,57.0,64.0,77.0,91.0,103.0,111.0,114.0,114.0,110.0,104.0,94.0,84.0,75.0,67.0,62.0,59.0,57.0,56.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	114.0,27.192,0.336,1.056,0.630215827338	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
179	26.429,26.477,26.525,26.573,26.621,26.669,26.717,26.765,26.813,26.861,26.909,26.957,27.005,27.053,27.101,27.149,27.197,27.245,27.293,27.341,27.389,27.437,27.485,27.533,27.581,27.629,27.677,27.725,27.773,27.821,27.869,27.917,27.965,28.013,28.061,28.109,28.157,28.205,28.253,28.301	54.0,54.0,54.0,54.0,55.0,59.0,69.0,81.0,94.0,103.0,110.0,114.0,116.0,115.0,113.0,106.0,97.0,87.0,77.0,69.0,63.0,59.0,57.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	116.0,29.64,0.336,1.152,0.61227154047	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
180	26.574,26.622,26.67,26.718,26.766,26.814,26.862,26.91,26.958,27.006,27.054,27.102,27.15,27.198,27.246,27.294,27.342,27.39,27.438,27.486,27.534,27.582,27.63,27.678,27.726,27.774,27.822,27.87,27.918,27.966,28.014,28.062,28.11,28.158,28.206,28.254,28.302,28.35,28.398,28.446	54.0,54.0,55.0,55.0,55.0,55.0,60.0,70.0,81.0,88.0,91.0,90.0,87.0,83.0,77.0,72.0,67.0,62.0,59.0,58.0,57.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,54.0,54.0	91.0,15.12,0.24,1.104,0.431818181818	4.0	15.0	0	0	1	20160317-111421-4m-curb15-move10.json
181	26.234,26.282,26.33,26.378,26.426,26.474,26.522,26.57,26.618,26.666,26.714,26.762,26.81,26.858,26.906,26.954,27.002,27.05,27.098,27.146,27.194,27.242,27.29,27.338,27.386,27.434,27.482,27.53,27.578,27.626,27.674,27.722,27.77,27.818,27.866,27.914,27.962,28.01,28.058,28.106	54.0,54.0,54.0,54.0,54.0,56.0,60.0,67.0,74.0,80.0,84.0,86.0,85.0,83.0,80.0,75.0,70.0,66.0,62.0,60.0,58.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	86.0,14.04,0.288,1.008,0.535433070866	4.0	15.0	0	0	1	20160317-113307-4m-curb15-move10.json
